Track Name,Artist Name(s),Release Date,Duration (ms),Popularity,Genres,
Jet Black Heart,5 Seconds of Summer,10/23/15,221715,60,"boy band,pop",
Jet Black Heart,5 Seconds of Summer,10/23/15,221715,60,"boy band,pop",
Killer Queen,5 Seconds of Summer,10/25/18,199357,53,"boy band,pop",
Kiss Me Kiss Me,5 Seconds of Summer,6/27/14,204620,47,"boy band,pop",
Lie To Me,5 Seconds of Summer,6/15/18,150467,68,"boy band,pop",
Long Way Home,5 Seconds of Summer,6/27/14,199027,49,"boy band,pop",
More,5 Seconds of Summer,6/15/18,194128,57,"boy band,pop",
Moving Along - Live,5 Seconds of Summer,12/21/18,246440,37,"boy band,pop",
Mrs All American,5 Seconds of Summer,6/27/14,159871,44,"boy band,pop",
Never Be,5 Seconds of Summer,6/27/14,188916,46,"boy band,pop",
Out Of My Limit,5 Seconds of Summer,6/27/14,196250,49,"boy band,pop",
Outer Space / Carry On,5 Seconds of Summer,10/23/15,398506,52,"boy band,pop",
Permanent Vacation,5 Seconds of Summer,10/23/15,205914,52,"boy band,pop",
Safety Pin,5 Seconds of Summer,10/23/15,209467,49,"boy band,pop",
San Francisco,5 Seconds of Summer,10/23/15,259305,49,"boy band,pop",
She Looks So Perfect,5 Seconds of Summer,6/27/14,202496,76,"boy band,pop",
She Looks So Perfect,5 Seconds of Summer,6/27/14,202496,76,"boy band,pop",
She Looks So Perfect,5 Seconds of Summer,6/27/14,202496,76,"boy band,pop",
She Looks So Perfect,5 Seconds of Summer,6/27/14,202496,76,"boy band,pop",
She's Kinda Hot,5 Seconds of Summer,10/23/15,216454,67,"boy band,pop",
She's Kinda Hot - Live,5 Seconds of Summer,12/21/18,208064,37,"boy band,pop",
Social Casualty,5 Seconds of Summer,6/27/14,188021,45,"boy band,pop",
Stay - Recorded at Spotify Studios NYC,5 Seconds of Summer,8/1/18,190927,44,"boy band,pop",
Talk Fast,5 Seconds of Summer,6/15/18,187234,57,"boy band,pop",
Teeth,5 Seconds of Summer,3/27/20,205502,77,"boy band,pop",
The Only Reason,5 Seconds of Summer,2014,202942,48,"boy band,pop",
The Only Reason,5 Seconds of Summer,2014,202942,48,"boy band,pop",
Too Late - Unplugged,5 Seconds of Summer,6/26/12,215557,36,"boy band,pop",
Too Late - Unplugged,5 Seconds of Summer,6/26/12,215557,36,"boy band,pop",
Try Hard,5 Seconds of Summer,1/1/14,221107,47,"boy band,pop",
Unpredictable,5 Seconds of Summer,1/1/12,185773,47,"boy band,pop",
Vapor,5 Seconds of Summer,10/23/15,179091,55,"boy band,pop",
Voodoo Doll,5 Seconds of Summer,6/27/14,197483,54,"boy band,pop",
Want You Back,5 Seconds of Summer,6/15/18,173081,65,"boy band,pop",
Want You Back,5 Seconds of Summer,6/15/18,173081,65,"boy band,pop",
Waste The Night,5 Seconds of Summer,10/23/15,266639,54,"boy band,pop",
What I Like About You,5 Seconds of Summer,1/1/14,151858,42,"boy band,pop",
What I Like About You,5 Seconds of Summer,1/1/14,151858,42,"boy band,pop",
Wherever You Are,5 Seconds of Summer,2014,191107,55,"boy band,pop",
Woke Up In Japan,5 Seconds of Summer,6/15/18,157002,51,"boy band,pop",
Youngblood,5 Seconds of Summer,6/15/18,203417,84,"boy band,pop",
Juno - Henry Green Remix,"Parra for Cuva,Henry Green",10/22/21,237967,44,"deep euro house,downtempo,new french touch,vapor soul",
That's Life (feat. Mac Miller & Sia),"88-Keys,Mac Miller,Sia",6/20/19,202390,63,"alternative hip hop,hip hop,pittsburgh rap,pop rap,rap,australian dance,australian pop,pop",
Want To,88GLAM,2/11/22,147853,28,"canadian hip hop,canadian trap,melodic rap",
Midsummer Madness,"88rising,Joji,Rich Brian,Higher Brothers,AUGUST 08",7/20/18,280841,67,"asian american hip hop,viral pop,indonesian hip hop,chinese hip hop,sichuanese hip hop,la pop,r&b",
Algernon,A Beacon School,2018,253277,40,"brooklyn indie,chill dream pop",
Alone,A Beacon School,9/12/23,199983,34,"brooklyn indie,chill dream pop",
Ash,A Beacon School,2018,232858,32,"brooklyn indie,chill dream pop",
Cut Thru,A Beacon School,2018,225358,30,"brooklyn indie,chill dream pop",
I Don't Believe It,A Beacon School,2018,183130,38,"brooklyn indie,chill dream pop",
JCult,A Beacon School,2018,166124,41,"brooklyn indie,chill dream pop",
KITM,A Beacon School,8/16/23,288037,26,"brooklyn indie,chill dream pop",
Potion,A Beacon School,6/20/23,120000,32,"brooklyn indie,chill dream pop",
Stay Away,A Beacon School,2018,107941,44,"brooklyn indie,chill dream pop",
Devil's Dance,"Asaf Avidan,The Mojos",1/1/08,212893,12,"israeli pop,israeli rock",
Drowning (feat. Kodak Black),"A Boogie Wit da Hoodie,Kodak Black",9/29/17,209269,80,"melodic rap,rap,trap,florida drill,florida rap,miami hip hop,trap latino",
My Shit,A Boogie Wit da Hoodie,9/16/16,128156,80,"melodic rap,rap,trap",
Numbers (Originally Performed by A Boogie wit da Hoodie) - Instrumental Version,KaraokePro,3/13/20,195907,0,karaoke,
Still Think About You,A Boogie Wit da Hoodie,9/16/16,246987,78,"melodic rap,rap,trap",
Swervin (feat. 6ix9ine),"A Boogie Wit da Hoodie,6ix9ine",12/21/18,189486,75,"melodic rap,rap,trap,emo rap",
Almost Lover,A Fine Frenzy,1/1/07,268800,54,"acoustic pop,lilith,neo mellow",
Space Age Love Song,A Flock Of Seagulls,4/30/82,227866,52,"new romantic,new wave,new wave pop,synthpop",
I'll Come Crashing,A Giant Dog,5/6/16,198626,40,"austin rock,texas punk",
Alligator Bop,A Great Big Pile of Leaves,6/22/10,215272,33,"alternative emo,brooklyn indie,midwest emo",
Ambiversion,A Great Big Pile of Leaves,7/2/13,217386,32,"alternative emo,brooklyn indie,midwest emo",
Leaves,"M e a d o w,Sátyr,Drxnk",4/24/21,112000,53,"lo-fi jazzhop,lo-fi study",
Vampires In Love,A Great Big Pile of Leaves,6/22/10,222708,39,"alternative emo,brooklyn indie,midwest emo",
We Don't Need Our Heads,A Great Big Pile of Leaves,6/22/10,251998,31,"alternative emo,brooklyn indie,midwest emo",
Fall,A Jackson Sound,4/7/19,123210,24,instrumental worship,
Home - Acoustic,Micky,7/14/23,240001,43,,
The Burn Marks on My Epiano Wont Go Away,A L E X,6/26/17,96026,52,lo-fi beats,
Cross My Mind,A R I Z O N A,5/19/17,218760,53,"electropop,indie poptimism",
Cross My Mind,A R I Z O N A,5/19/17,218760,53,"electropop,indie poptimism",
Freaking Out,A R I Z O N A,10/11/19,200312,52,"electropop,indie poptimism",
Oceans Away,A R I Z O N A,5/19/17,194013,61,"electropop,indie poptimism",
Harbour Lights,A Silent Film,6/5/12,230986,33,"oxford indie,shimmer pop,stomp pop",
My Sitter,A Will Away,10/16/15,208386,22,"anthem emo,new england emo",
Something Special,A Will Away,3/17/17,203078,27,"anthem emo,new england emo",
Start Somewhere,A Yawn Worth Yelling,8/14/15,244413,23,indie rockism,
"Telephone Calls (feat. A$AP Rocky, Tyler, The Creator, Playboi Carti & Yung Gleesh)","A$AP Mob,A$AP Rocky,Tyler, The Creator,Playboi Carti,Yung Gleesh",10/31/16,230920,59,"hip hop,rap,southern hip hop,trap,east coast hip hop,atl hip hop,plugg,pluggnb,rage rap,dmv rap",
Sundress,A$AP Rocky,11/20/18,158205,80,"east coast hip hop,hip hop,rap,trap",
Wild for the Night (feat. Skrillex & Birdy Nam Nam),"A$AP Rocky,Skrillex,Birdy Nam Nam,Lord Flacko",2013,212640,67,"east coast hip hop,hip hop,rap,trap,brostep,complextro,edm,electro,pop dance,filter house,turntablism",
Diamonds (feat. A$AP Rocky),"A$AP Twelvyy,A$AP Rocky",8/4/17,180480,46,"underground hip hop,east coast hip hop,hip hop,rap,trap",
Indian Style,A. Savage,10/13/17,251331,33,"garage psych,modern folk rock",
Thawing Dawn,A. Savage,10/13/17,305803,38,"garage psych,modern folk rock",
000000,A.CHAL,12/8/18,165214,57,"canadian hip hop,trap soul",
Time For A Change - Original Mix,"Guy Gerber,Guti,Ryan Crosson,Greg Paulus",12/27/10,735213,6,"deep disco house,israeli techno,microhouse,minimal tech house,minimal techno,organic electronic,organic house,house argentino,latin tech house,detroit house",
Walk in the Dark,A.O. Gerber,10/14/22,240640,5,,
Jai Ho! (You Are My Destiny),"A.R. Rahman,The Pussycat Dolls,Nicole Scherzinger",1/1/09,222400,66,"filmi,dance pop,girl group,pop,post-teen pop",
Jai Ho! (You Are My Destiny),"A.R. Rahman,The Pussycat Dolls,Nicole Scherzinger",1/1/09,222400,66,"filmi,dance pop,girl group,pop,post-teen pop",
Dancing Queen,ABBA,1976,230400,86,"europop,swedish pop",
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,1979,292613,82,"europop,swedish pop",
Take A Chance On Me,ABBA,1977,243933,77,"europop,swedish pop",
The Winner Takes It All,ABBA,1980,294720,76,"europop,swedish pop",
Highway to Hell,AC/DC,7/27/79,208400,86,"australian rock,hard rock,rock",
T.N.T.,AC/DC,5/14/76,214666,79,"australian rock,hard rock,rock",
You Shook Me All Night Long,AC/DC,7/25/80,210173,84,"australian rock,hard rock,rock",
City,ADHDS,6/20/13,235072,28,indie rockism,
In Love,ADOY,8/31/23,167000,45,"k-indie,korean city pop,korean dream pop,korean electropop,korean indie rock",
"Darling, I Love You",AJJ,2/15/11,159093,30,"acoustic punk,anti-folk,folk punk,pov: indie",
Horsehair Vase,AJJ,12/8/20,159000,20,"acoustic punk,anti-folk,folk punk,pov: indie",
Kokopelli Face Tattoo,AJJ,5/6/14,199412,43,"acoustic punk,anti-folk,folk punk,pov: indie",
Brave as a Noun,AJJ,9/11/07,74960,59,"acoustic punk,anti-folk,folk punk,pov: indie",
"You Swan, Go On",AJJ,12/8/20,116000,25,"acoustic punk,anti-folk,folk punk,pov: indie",
Bang! (feat. Hayley Kiyoko) - AhhHaa Remix,"AJR,Hayley Kiyoko,AhhHaa",8/17/20,167649,28,"pov: indie,alt z,indie poptimism,pop",
Birthday Party,AJR,4/26/19,223947,45,pov: indie,
Bud Like You,AJR,6/30/17,230920,39,pov: indie,
Burn the House Down,AJR,9/21/18,212689,64,pov: indie,
Call My Dad,AJR,6/30/17,135693,34,pov: indie,
Come Hang Out,AJR,6/30/17,266266,47,pov: indie,
Don't Throw Out My Legos,AJR,4/26/19,250839,47,pov: indie,
Drama,AJR,6/30/17,204426,44,pov: indie,
I'm Not Famous,AJR,6/30/17,220453,46,pov: indie,
I'm Ready,AJR,2013,227311,60,pov: indie,
It's On Us (Benefiting the It's On Us Campaign),AJR,3/31/17,207671,52,pov: indie,
Let the Games Begin,AJR,10/23/15,201004,57,pov: indie,
Location - Recorded at Spotify Studios NYC,AJR,8/11/17,178794,43,pov: indie,
My Calling,AJR,2013,236400,49,pov: indie,
Netflix Trip,AJR,6/30/17,237786,46,pov: indie,
No Grass Today,AJR,6/30/17,259120,40,pov: indie,
Overture,AJR,6/30/17,214400,41,pov: indie,
Sober Up (feat. Rivers Cuomo),"AJR,Rivers Cuomo",9/21/18,218763,40,"pov: indie,alternative rock",
Sober Up (feat. Rivers Cuomo),"AJR,Rivers Cuomo",9/21/18,218763,40,"pov: indie,alternative rock",
The Good Part,AJR,6/30/17,227266,64,pov: indie,
Three-Thirty,AJR,6/30/17,210280,39,pov: indie,
Turning Out,AJR,6/30/17,260959,46,pov: indie,
Weak,AJR,6/30/17,201160,66,pov: indie,
Another New Day,Alan Shoesmith,8/12/22,133991,42,instrumental acoustic guitar,
get me high,Marco Luka,7/23/21,105257,48,,
Monster,ALASKALASKA,5/3/19,236509,0,london indie,
An Old Tune,ANIMA!,1/13/23,170566,19,vapor soul,
Stop Time,ANIMA!,12/2/22,188095,17,vapor soul,
Applause,Lady Gaga,11/11/13,212333,79,"art pop,dance pop,pop",
Bend Ya (feat. Frank Ocean & Kendrick Lamar),"Mann,Frank Ocean,Kendrick Lamar",5/7/12,226741,52,"lgbtq+ hip hop,neo soul,conscious hip hop,hip hop,rap,west coast rap",
Hollow Moon (Bad Wolf),AWOLNATION,3/17/15,258860,50,"la indie,modern alternative rock,modern rock,rock,stomp pop",
I'm All About You,Aaron Carter,8/7/01,221360,51,post-teen pop,
Calzone,Aaron Joseph Russo,3/28/23,226832,16,chill dream pop,
Every Breath You Take (feat. Liza Anne),"Aaron Krause,Liza Anne",11/22/13,223893,62,"channel pop,indie folk",
Get Me What I Need,"Aaron Simon Gross,13 Original Broadway Cast",9/30/08,176240,24,,
Getting Ready,"Aaron Simon Gross,Graham Phillips,Eric Nelsen,Elizabeth Gillies,Delaney Moro,Allie Trimm",9/30/08,310760,24,,
If That's What It Is,"Aaron Simon Gross,Allie Trimm,Graham Phillips",9/30/08,323040,21,,
you won't...,Aaron Taos,9/15/23,182716,31,brooklyn indie,
"67, Cherry Red",Aaron West and The Roaring Twenties,5/20/16,218494,14,"alternative emo,anthem emo,emo,philly indie",
Our Apartment,Aaron West and The Roaring Twenties,7/8/14,213626,39,"alternative emo,anthem emo,emo,philly indie",
Bloody Waters (with Anderson .Paak & James Blake),"Ab-Soul,Anderson .Paak,James Blake",2/9/18,272306,54,"conscious hip hop,hip hop,rap,underground hip hop,escape room,indie soul,neo soul,art pop,indietronica,uk alternative pop",
Threatening Nature,Ab-Soul,12/9/16,204933,29,"conscious hip hop,hip hop,rap,underground hip hop",
You + Me + the Radio,Abandon Kansas,6/11/13,251255,23,christian rock,
Cable Car,Abhi The Nomad,12/17/21,158608,15,desi hip hop,
Wasted,"Abhi The Nomad,Harrison Sands",12/17/21,162288,16,desi hip hop,
Sparkling Moments,About Paul,2/27/23,240828,13,,
talk talk,abracadabra,11/30/22,248988,9,,
Two Wrongs,"Absofacto,Kranium",11/3/17,187235,32,"shimmer psych,basshall,dancehall",
Blind,"Soufian,SOTT",8/13/21,193897,30,german hip hop,
Beautiful Life,Ace of Base,11/7/95,221186,69,"eurodance,europop,new wave pop",
Selfportrait,Matty,11/20/20,435600,5,neo-psychedelic,
The Humpty Dumpty Love Song,Travis,6/12/01,302000,33,britpop,
Terry,Action Bronson,3/23/15,289492,53,"alternative hip hop,east coast hip hop,hip hop,nyc rap,queens hip hop",
After Party,Active Bird Community,9/12/14,152711,22,brooklyn indie,
Boy Blowing in the Wind,Active Bird Community,10/23/15,166323,4,brooklyn indie,
Brookfield,Active Bird Community,10/23/15,225745,4,brooklyn indie,
Drank the Water,Active Bird Community,1/27/17,153982,8,brooklyn indie,
Melancholy Paper Drum - Audiotree Live Version,"Active Bird Community,Audiotree",4/19/17,134407,1,brooklyn indie,
Million Ways,HRVY,11/8/19,169887,56,pop,
Mr. Spins,Active Bird Community,10/23/15,224662,5,brooklyn indie,
Pick Me Apart,Active Bird Community,10/23/15,217587,0,brooklyn indie,
Qb Sneak,Active Bird Community,1/27/17,144543,30,brooklyn indie,
Spend the Night,Active Bird Community,5/4/18,233314,0,brooklyn indie,
Stick Around,Active Bird Community,1/27/17,190435,8,brooklyn indie,
Stormville,Active Bird Community,10/23/15,246154,6,brooklyn indie,
Unwind With Me,Active Bird Community,6/15/18,225396,1,brooklyn indie,
GOP Senate Majority Leader Mitch McConnell,"Actually, I'm a Ghost",4/1/18,136995,2,midwest emo,
what makes me sad,Ada Lea,7/19/19,202754,13,montreal indie,
315,Adam Ackerman,4/6/18,327528,1,,
All i Have,Lil Cozzy,4/27/23,144000,16,,
"always, i'll care",Jeremy Zucker,4/17/20,146160,72,"alt z,electropop,pop",
Believe,Adam Lambert,12/6/19,210904,52,"dance pop,idol,pop,post-teen pop",
Believe,Adam Lambert,12/6/19,210904,52,"dance pop,idol,pop,post-teen pop",
Don't Worry (with Ray Dalton) - Radio Edit,"Madcon,Ray Dalton",7/6/18,214120,50,"norwegian hip hop,pop dance",
Four Notes,Adam Ackerman,4/6/18,272318,0,,
In Motion,hide,2002,298066,14,visual kei,
Side Effects,Stray Kids,6/19/19,193852,56,"k-pop,k-pop boy group,pop",
What If,Adam Friedman,1/10/17,225876,31,la pop,
Breakthrough,"Adam Hicks,Bridgit Mendler,Naomi Scott,Hayley Kiyoko",1/1/11,207280,57,"pop,post-teen pop,movie tunes,vapor pop,alt z,indie poptimism",
Determinate - From Lemonade Mouth,"Adam Hicks,Bridgit Mendler,Naomi Scott,Hayley Kiyoko",1/1/11,198106,66,"pop,post-teen pop,movie tunes,vapor pop,alt z,indie poptimism",
Lost Stars,Adam Levine,5/18/15,267853,56,deep talent show,
This World Is Yours,Adam Martin,1/1/13,220606,27,,
Begin Again,Adam Melchor,2/19/21,226408,36,"indie pop,modern indie folk,new jersey indie",
Last Time,Adam Melchor,3/19/21,193972,46,"indie pop,modern indie folk,new jersey indie",
Metadata,Adam Melchor,9/21/18,177666,29,"indie pop,modern indie folk,new jersey indie",
Shelter Island,Adam Rafferty,9/4/16,188760,26,"fingerstyle,jazz guitar",
Drive Slow,ADDIE,10/3/18,370802,34,,
Sugar Rush,Addison Grace,8/25/20,246341,49,pov: indie,
Easy On Me,Adele,10/14/21,224694,84,"british soul,pop,pop soul,uk pop",
Hello,Adele,11/20/15,295502,77,"british soul,pop,pop soul,uk pop",
Make You Feel My Love,Adele,1/27/08,212040,79,"british soul,pop,pop soul,uk pop",
Rolling in the Deep,Adele,1/24/11,228093,84,"british soul,pop,pop soul,uk pop",
Rumour Has It,Adele,1/24/11,223266,70,"british soul,pop,pop soul,uk pop",
Send My Love (To Your New Lover),Adele,11/20/15,223078,76,"british soul,pop,pop soul,uk pop",
Turning Tables,Adele,1/24/11,250000,71,"british soul,pop,pop soul,uk pop",
A Lifetime of Bad Habits,Adjust the Sails,6/5/20,190000,38,,
Georgia,Adjust the Sails,1/2/19,218484,19,,
Mike Walton - Basement Version,Adjust the Sails,3/22/20,199026,46,,
Mike Walton - Basement Version,Adjust the Sails,3/22/20,199026,46,,
Blush,Adored,8/21/23,190273,17,,
Cruel Summer,Ace of Base,1/21/98,215360,50,"eurodance,europop,new wave pop",
Gone,Adrianne Lenker,1/9/14,246933,37,"chamber pop,countrygaze,indie pop,small room",
Snow Song,Adrianne Lenker,1/9/14,236586,42,"chamber pop,countrygaze,indie pop,small room",
symbol,Adrianne Lenker,10/5/18,229133,49,"chamber pop,countrygaze,indie pop,small room",
La Vallée du Vent,Adrien de la Salle,6/3/22,141000,46,,
Be Your Own 3am,Adult Mom,7/28/15,130815,45,"bubblegrunge,small room,transpop",
Berlin,Adult Mom,3/5/21,200434,32,"bubblegrunge,small room,transpop",
Full Screen,Adult Mom,5/19/17,157409,0,"bubblegrunge,small room,transpop",
Sorry I Was Sorry,Adult Mom,7/28/15,141952,31,"bubblegrunge,small room,transpop",
Survival,Adult Mom,7/28/15,169621,0,"bubblegrunge,small room,transpop",
Ode to One Night Stands (Audiotree Live Version),Adult Mom,6/20/16,132036,0,"bubblegrunge,small room,transpop",
See Me Now,Adult Play,2/24/23,241058,13,,
Dream On,Aerosmith,1/5/73,267596,85,"album rock,classic rock,hard rock,rock",
I Don't Want to Miss a Thing - From Armageddon Soundtrack,Aerosmith,6/23/98,298760,75,"album rock,classic rock,hard rock,rock",
Sweet Emotion,Aerosmith,4/8/75,274088,77,"album rock,classic rock,hard rock,rock",
Walk This Way,Aerosmith,4/8/75,220310,78,"album rock,classic rock,hard rock,rock",
Ten Feet Tall - Brennan Heart & Code Black Remix,"AFROJACK,Wrabel,Brennan Heart,Code Black",5/12/14,274842,46,"big room,dance pop,dutch house,edm,electro house,pop dance,alt z,indie poptimism,classic hardstyle,euphoric hardstyle,rawstyle",
Crazy Rap (Colt 45 & 2 Zig Zags),Afroman,8/28/01,328666,73,comedy rap,
Daisy,After Ours,10/11/23,242265,48,,
Honey,AFTERxCLASS,3/5/21,184133,37,,
In Our Bones,Against The Current,5/20/16,178746,43,"neon pop punk,pixie,pop punk",
Needle and Thread,Ages and Ages,4/5/19,182715,36,portland indie,
Despues de Las Seis,Agustin Pereyra Lucena,1980,174330,45,bossa nova jazz,
過ぎ去りしトレモロ（バリオス）,"Agustín Barrios Mangoré,Kaori Muraji",12/19/12,206310,1,"classical guitar,guitarra clasica,latin classical,polca paraguaya,japanese classical performance,japanese guitar",
"Cello Concerto, Op. 74: II. Largo -","Ahmet Adnan Saygun,Tim Hugh,Bilkent Symphony Orchestra,Howard Griffiths",1/1/07,397506,1,"oriental classical,classical cello,turkish classical performance,orchestral performance",
Tripping Over Air,Aidan Bissett,9/9/22,182382,63,gen z singer-songwriter,
It's Not Enough,"Aiden Ayers,Yu Su",8/11/23,159591,37,"canadian electronic,fourth world",
Dark Spell,Ali Stone,10/28/14,268042,2,,
America's Son,Air Review,1/29/13,250560,21,austindie,
Young,Air Review,1/29/13,231386,31,austindie,
You Know Me,Air Traffic Controller,6/26/12,240680,37,"folk-pop,hopebeat,shiver pop",
Molten Young Lovers,Airiel,10/13/17,279747,38,"american shoegaze,dreamgaze,nu gaze,shoegaze",
New Supplier,Airplane Man,11/15/17,242432,19,modern alternative pop,
Know nothing,Aizat Haris,4/15/23,105508,21,,
Show Me,"Akacia,Alex Lustig",8/18/17,195921,35,vapor twitch,
"Don't Be Afraid, You're Already Dead",Akron/Family,9/18/07,275960,35,freak folk,
Caviar Dreams,"Al Bairre,PHFAT",9/22/15,211291,32,"african rock,cape town indie,indie surf,south african alternative,south african pop,south african pop dance",
Let's Fall in Love Some More,Al Bairre,11/21/15,198826,39,"african rock,cape town indie,indie surf,south african alternative,south african pop,south african pop dance",
