chart-export-bf76ae6f-e066-482a-84d0-baa2976cbad7
Year,Legal in all/most cases
1995,60%
1996,57%
1997,
1998,54%
1999,56%
2000,53%
2001,54%
2002,
2003,57%
2004,55%
2005,57%
2006,51%
2007,52%
2008,54%
2009,47%
2010,50%
2011,53%
2012,54%
2013,54%
2014,55%
2015,51%
2016,57%
2017,57%
2018,58%
2019,61%
2020,60%
2021,59%
2022,61%
